Date,Adj Close,Close,High,Low,Open,Volume
,GS,GS,GS,GS,GS,GS
2001-02-15,76.09490203857422,107.19999694824219,108.25,103.69999694824219,105.94999694824219,3020000
2001-02-16,72.04882049560547,101.5,105.30000305175781,101.30000305175781,104.5,2620200
2001-02-20,68.14470672607422,96.0,102.11000061035156,94.3499984741211,102.0999984741211,3273600
2001-02-21,67.00894165039062,94.4000015258789,98.5999984741211,93.61000061035156,96.0,4273900
2001-02-22,68.99646759033203,97.19999694824219,97.5,91.26000213623047,94.41000366210938,4517900
2001-02-23,68.17308044433594,96.04000091552734,97.0999984741211,90.25,96.19999694824219,4350600
2001-02-26,69.77731323242188,98.30000305175781,98.5,92.62999725341797,96.1500015258789,3882100
2001-02-27,69.80569458007812,98.33999633789062,100.5,96.51000213623047,97.75,4132200
2001-02-28,65.12783813476562,91.75,97.11000061035156,91.2699966430664,97.0999984741211,4745600
2001-03-01,65.02851104736328,91.61000061035156,91.80000305175781,87.19999694824219,89.4000015258789,5330800
2001-03-02,64.87943267822266,91.4000015258789,93.5999984741211,89.0999984741211,90.30000305175781,4105500
2001-03-05,65.41179656982422,92.1500015258789,93.0,88.72000122070312,91.4000015258789,2837300
2001-03-06,67.68331146240234,95.3499984741211,97.5,93.3499984741211,93.94999694824219,3156800
2001-03-07,67.39934539794922,94.94999694824219,95.6500015258789,92.6500015258789,95.11000061035156,3780200
2001-03-08,65.12783813476562,91.75,95.69999694824219,90.6500015258789,94.8499984741211,3078300
2001-03-09,61.75613021850586,87.0,91.62000274658203,86.9000015258789,91.61000061035156,2968600
2001-03-12,58.554725646972656,82.48999786376953,86.5,81.56999969482422,86.05000305175781,4860800
2001-03-13,62.11814498901367,87.51000213623047,87.75,83.5,84.75,4596400
2001-03-14,59.5627555847168,83.91000366210938,87.88999938964844,83.11000061035156,84.9000015258789,6390800
2001-03-15,62.43049240112305,87.94999694824219,89.91000366210938,85.8499984741211,86.0,4706900
2001-03-16,62.14658737182617,87.55000305175781,91.0,87.05000305175781,90.5,4385300
2001-03-19,64.55286407470703,90.94000244140625,91.55000305175781,88.25,89.0,3205100
2001-03-20,61.79869079589844,87.05999755859375,92.5,87.05999755859375,92.0,7271300
2001-03-21,60.33644485473633,85.0,89.5,84.8499984741211,87.0999984741211,5204200
2001-03-22,60.982383728027344,85.91000366210938,88.5,81.0,84.75,5776900
2001-03-23,63.7507438659668,89.80999755859375,89.87999725341797,86.9000015258789,87.5,4026900
2001-03-26,63.34616470336914,89.23999786376953,92.5,88.56999969482422,89.80999755859375,3292600
2001-03-27,66.37007141113281,93.5,93.5,87.4000015258789,87.75,3700100
2001-03-28,61.93357849121094,87.25,92.0,86.5,92.0,4127400
2001-03-29,62.53696823120117,88.0999984741211,89.6500015258789,86.0,86.68000030517578,3472000
2001-03-30,60.407440185546875,85.0999984741211,89.47000122070312,85.0999984741211,87.9000015258789,2855900
2001-04-02,59.740169525146484,84.16000366210938,87.19999694824219,84.0,85.0999984741211,2939800
2001-04-03,57.71711730957031,81.30999755859375,84.9000015258789,80.9800033569336,84.0999984741211,3203600
2001-04-04,55.03394317626953,77.52999877929688,81.75,77.0,80.5999984741211,6130100
2001-04-05,61.04631042480469,86.0,86.0,79.9000015258789,80.0,5193500
2001-04-06,59.768531799316406,84.19999694824219,85.55999755859375,82.83999633789062,84.0,4452100
2001-04-09,59.62662887573242,84.0,87.25,82.61000061035156,85.75,2884500
